-1.4612,1.1433,0.4290,0.5000,0.4439,0.4417,0.4985
3.2032,-0.6941,0.9026,0.4211,0.8770,0.8825,0.5069
0.7936,-0.2994,0.5948,0.3520,0.6694,0.6646,0.4935
3.0772,0.3294,0.9575,0.6206,0.8938,0.9050,0.5226
-1.1618,-0.5785,0.1544,0.2074,0.3882,0.3586,0.4729
1.4732,0.5720,0.8663,0.5698,0.7837,0.7959,0.5134
-1.1703,0.7466,0.3997,0.4373,0.4616,0.4550,0.4945
1.2230,2.3799,0.9681,0.8462,0.8269,0.8537,0.5407
3.0429,-0.2020,0.9283,0.5115,0.8795,0.8880,0.5136
-1.3080,2.0251,0.6730,0.6824,0.5160,0.5321,0.5142
1.3253,1.2882,0.9195,0.6969,0.7973,0.8163,0.5238
0.1258,2.1879,0.9011,0.7801,0.7119,0.7395,0.5286
1.6194,0.3282,0.8538,0.5294,0.7880,0.7981,0.5106
1.5455,1.0557,0.9176,0.6677,0.8083,0.8253,0.5218
3.4731,-0.0508,0.9572,0.5696,0.9059,0.9150,0.5196
0.8900,0.9727,0.8485,0.6134,0.7413,0.7562,0.5151
2.1283,-0.0673,0.8638,0.4806,0.8186,0.8264,0.5083
1.0322,0.9160,0.8580,0.6109,0.7539,0.7686,0.5153
3.0042,0.4554,0.9597,0.6404,0.8926,0.9045,0.5240
0.4531,1.2210,0.8266,0.6350,0.7037,0.7200,0.5156
0.5683,0.1665,0.6531,0.4293,0.6652,0.6661,0.4993
0.9842,0.9379,0.8552,0.6123,0.7498,0.7646,0.5153
1.4850,1.7675,0.9550,0.7804,0.8277,0.8500,0.5329
1.5038,1.0618,0.9152,0.6664,0.8049,0.8219,0.5216
0.1010,2.9162,0.9479,0.8652,0.7425,0.7776,0.5402
2.6254,-0.2552,0.8931,0.4738,0.8509,0.8584,0.5093
0.6765,1.4036,0.8752,0.6817,0.7374,0.7568,0.5204
2.3499,1.7712,0.9793,0.8164,0.8864,0.9053,0.5401
-0.0727,0.7902,0.6575,0.5162,0.6157,0.6213,0.5042
0.6141,-0.0354,0.6170,0.3920,0.6605,0.6585,0.4964
1.6685,0.5469,0.8834,0.5770,0.8007,0.8132,0.5145
1.7998,3.3214,0.9924,0.9326,0.8913,0.9169,0.5606
-0.9374,-0.6829,0.1687,0.2028,0.4126,0.3827,0.4731
1.2538,0.0607,0.7619,0.4511,0.7400,0.7449,0.5032
1.3937,0.1443,0.7982,0.4772,0.7584,0.7653,0.5057
-0.9861,-0.0276,0.2696,0.3011,0.4429,0.4239,0.4833
2.7330,-0.0623,0.9177,0.5204,0.8637,0.8729,0.5134
2.9134,0.9377,0.9724,0.7213,0.8983,0.9123,0.5311
-1.7032,1.3416,0.4218,0.5253,0.4218,0.4208,0.4998
0.9090,0.7311,0.8180,0.5665,0.7326,0.7445,0.5113
1.8989,0.0745,0.8550,0.4951,0.8039,0.8123,0.5087
0.2610,1.8147,0.8773,0.7298,0.7098,0.7331,0.5237
1.8442,1.4246,0.9548,0.7461,0.8444,0.8637,0.5303
0.5222,1.1250,0.8223,0.6207,0.7072,0.7224,0.5146
2.2709,3.1567,0.9942,0.9317,0.9114,0.9330,0.5618
1.9946,-0.1530,0.8374,0.4546,0.8041,0.8105,0.5058
0.7102,1.3973,0.8780,0.6824,0.7408,0.7602,0.5205
2.4140,0.5474,0.9379,0.6228,0.8592,0.8722,0.5207
0.7575,-1.3623,0.3332,0.1833,0.6082,0.5833,0.4759
1.0667,0.2462,0.7636,0.4772,0.7279,0.7341,0.5047
3.1601,0.9739,0.9786,0.7396,0.9109,0.9243,0.5337
3.1365,0.6353,0.9698,0.6811,0.9032,0.9156,0.5280
0.9953,0.9995,0.8637,0.6249,0.7536,0.7692,0.5164
0.9339,3.1720,0.9806,0.9074,0.8299,0.8621,0.5512
0.5453,1.3052,0.8494,0.6563,0.7183,0.7361,0.5177
1.4316,1.4009,0.9337,0.7216,0.8108,0.8306,0.5265
1.3347,0.6320,0.8581,0.5732,0.7726,0.7851,0.5132
-0.4237,0.9837,0.6265,0.5335,0.5791,0.5848,0.5045
2.4653,-0.6654,0.8280,0.3814,0.8260,0.8292,0.5013
1.3711,2.6227,0.9779,0.8746,0.8459,0.8730,0.5459
0.7193,1.4638,0.8856,0.6946,0.7447,0.7648,0.5217
1.2241,-0.9891,0.5261,0.2558,0.6873,0.6753,0.4858
-0.9252,1.7446,0.6901,0.6530,0.5532,0.5679,0.5128
3.1657,0.1325,0.9527,0.5872,0.8942,0.9044,0.5201
-1.4283,-0.1422,0.1797,0.2593,0.3767,0.3524,0.4778
0.8928,0.3529,0.7533,0.4880,0.7133,0.7198,0.5050
2.1582,1.9636,0.9796,0.8323,0.8799,0.9003,0.5416
0.9364,1.7319,0.9249,0.7499,0.7780,0.8010,0.5278
2.9505,1.2406,0.9800,0.7702,0.9063,0.9211,0.5364
2.9752,1.5492,0.9855,0.8130,0.9133,0.9287,0.5416
1.8866,2.9368,0.9898,0.9116,0.8874,0.9117,0.5551
2.0659,2.1722,0.9818,0.8519,0.8796,0.9011,0.5442
0.3703,2.3512,0.9306,0.8120,0.7464,0.7757,0.5333
1.0077,0.9940,0.8644,0.6246,0.7547,0.7702,0.5164
0.5627,0.1350,0.6449,0.4227,0.6629,0.6632,0.4987
1.6736,-0.6096,0.7096,0.3452,0.7553,0.7539,0.4957
1.7677,1.7265,0.9636,0.7869,0.8479,0.8690,0.5346
-0.8292,2.3260,0.8116,0.7568,0.5991,0.6247,0.5230
1.1188,1.0578,0.8827,0.6434,0.7686,0.7852,0.5184
1.0902,-0.8727,0.5238,0.2677,0.6768,0.6653,0.4866
0.6167,2.6289,0.9567,0.8525,0.7827,0.8138,0.5398
3.9387,0.9124,0.9889,0.7672,0.9398,0.9504,0.5391
1.5297,1.3185,0.9343,0.7130,0.8162,0.8353,0.5260
-0.1456,-1.6931,0.1353,0.1194,0.4645,0.4231,0.4631
-0.4998,-0.7041,0.2295,0.2185,0.4718,0.4451,0.4763
0.4219,1.4452,0.8524,0.6749,0.7108,0.7299,0.5190
2.7408,1.9048,0.9873,0.8459,0.9093,0.9265,0.5454
0.6523,0.2463,0.6876,0.4508,0.6796,0.6826,0.5013
-1.7219,0.3989,0.2212,0.3363,0.3674,0.3498,0.4843
